race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Mixed Race,14,1,0,1,Test Website,CA,43,35,28,38,30
Caucasian (European),17,0,0,1,Other Source,US,39,38,30,38,31
Mixed Race2,17,1,0,1,Other Source,US,34,32,36,39,27
Mixed Race,17,1,1,1,Other Source,US,33,39,31,39,30
Mixed Race,16,1,0,1,Other Source,US,31,38,36,45,43
Mixed Race,16,0,1,1,Other Source,US,35,35,40,34,31
Mixed Race,16,1,0,1,Other Source,US,46,42,33,44,22
Caucasian (European),17,1,1,1,Other Source,US,36,40,31,39,39
Mixed Race,15,1,0,1,Other Source,US,33,34,32,28,15
Mixed Race,16,1,0,1,Other Source,US,39,38,25,46,25
Mixed Race,16,1,1,1,Other Source,US,37,32,36,32,36
Mixed Race,1997,1,0,1,Test Website,US,23,27,37,36,25
North East Asian,17,1,0,1,Other Source,US,32,40,29,33,18
Caucasian (European),16,0,1,1,Test Website,AT,33,20,14,33,24
Caucasian (European),17,1,0,1,Other Source,US,29,31,21,33,29
Caucasian (European),33,1,0,1,Test Website,US,42,37,27,36,30
Caucasian (European),18,1,1,0,Other Source,US,33,35,28,27,17
Mixed Race,20,1,1,0,Google,US,45,33,49,39,45
Caucasian (European),40,0,0,1,Test Website,NO,42,30,14,43,14
Caucasian (European),19,0,0,1,Test Website,SE,34,26,23,34,31
Caucasian (European),24,1,0,1,Test Website,US,49,25,19,36,23
Mixed Race,17,0,1,1,Test Website,ID,25,29,23,28,24
Mixed Race,18,0,1,1,Test Website,TZ,48,28,45,34,30
Mixed Race,15,1,0,1,Test Website,SG,47,24,10,17,10
Native American,17,1,1,1,Test Website,US,41,32,13,38,39
Caucasian (European),19,0,0,1,Test Website,SK,43,33,29,21,25
Mixed Race,24,1,0,1,Test Website,US,40,37,31,44,16
Caucasian (European),32,1,0,1,Test Website,US,34,41,21,34,22
Caucasian (European),20,0,0,1,Test Website,FI,41,36,26,34,15
Caucasian (European),30,1,1,0,Test Website,US,35,27,27,47,28
Caucasian (European),16,0,0,1,Test Website,ES,45,23,14,27,18
Mixed Race,34,0,1,2,Other Source,US,36,37,32,35,13
Caucasian (European),31,0,0,1,Test Website,RS,43,33,32,47,26
Mixed Race,27,0,0,1,Other Source,US,24,18,42,44,40
Caucasian (European),55,1,0,1,Test Website,US,34,38,40,39,29
Caucasian (European),35,0,0,1,Test Website,SE,42,36,39,33,33
Caucasian (European),60,1,1,1,Test Website,US,50,29,15,35,46
Caucasian (European),48,1,1,0,Test Website,CA,30,37,29,34,40
Caucasian (European),32,1,1,1,Google,US,50,40,10,22,23
Caucasian (European),60,1,1,1,Google,NL,39,31,37,34,46
Caucasian (European),58,1,0,1,Test Website,US,46,34,34,50,44
Caucasian (European),22,0,1,1,Test Website,BE,41,28,22,27,32
Mixed Race,23,1,0,1,Google,US,43,44,45,40,24
Caucasian (European),19,0,1,0,Test Website,LT,37,24,24,38,23
Caucasian (European),24,1,0,1,Google,US,32,43,46,42,36
Mixed Race2,25,0,0,1,Test Website,,37,35,21,33,21
Mixed Race,45,0,0,1,Test Website,NO,39,41,35,39,44
Caucasian (European),25,0,1,1,Test Website,HU,47,26,23,41,33
Caucasian (European),25,1,0,1,Other Source,RU,47,31,35,41,41
Caucasian (North African),14,1,0,0,Test Website,US,33,39,17,12,30
Mixed Race,20,0,0,1,Google,UG,37,39,29,47,36
Caucasian (European),20,1,0,1,Test Website,US,38,36,43,45,24
Caucasian (European),17,1,0,1,Test Website,US,46,29,33,38,34
Caucasian (European),22,1,1,1,Test Website,BR,39,24,23,33,18
Caucasian (European),30,1,0,1,Other Source,US,39,39,23,46,28
Mixed Race2,29,0,0,1,Test Website,US,46,22,38,40,31
Mixed Race,22,1,0,1,Test Website,US,32,44,25,32,41
Caucasian (European),15,1,0,1,Test Website,GB,40,23,14,43,16
Caucasian (European),13,1,0,1,Other Source,GB,27,26,27,33,19
Caucasian (European),14,1,0,1,Test Website,US,45,30,16,44,25
Caucasian (European),18,1,0,1,Google,US,33,33,25,39,34
Caucasian (European),38,0,1,1,Test Website,PT,40,25,21,28,13
Mixed Race,18,1,0,1,Test Website,US,33,37,27,40,31
Mixed Race,30,1,0,1,Google,GB,41,41,29,43,31
Caucasian (European),19,1,0,1,Google,GB,40,27,13,39,27
Caucasian (European),32,1,1,1,Test Website,GB,42,34,37,41,23
Caucasian (European),18,1,1,1,Test Website,AU,43,36,25,35,26
Caucasian (European),28,0,1,1,Test Website,DE,42,43,25,32,46
Caucasian (European),55,1,0,1,Test Website,US,44,38,37,45,34
Caucasian (European),31,1,1,0,Test Website,CA,33,34,22,42,21
Mixed Race,23,1,0,1,Test Website,US,36,36,28,35,43
Caucasian (European),16,1,1,1,Test Website,US,50,37,27,27,25
Caucasian (European),17,1,0,1,Test Website,US,47,32,46,43,21
Caucasian (European),14,1,0,1,Test Website,US,39,33,23,45,19
Caucasian (European),43,1,0,1,Test Website,US,38,26,24,46,41
Caucasian (European),44,1,0,1,Test Website,CA,41,37,28,46,20
Caucasian (Indian),21,0,0,1,Google,ZA,43,36,34,43,35
Mixed Race,22,1,0,1,Other Source,FR,45,41,33,40,26
Caucasian (European),19,1,0,1,Other Source,CA,30,34,38,41,28
Caucasian (European),42,1,0,1,Google,CA,37,39,28,39,32
Caucasian (European),17,1,3,1,Test Website,US,46,44,25,41,30
Caucasian (European),39,1,0,1,Test Website,US,36,30,42,47,39
Caucasian (European),20,0,0,1,Test Website,AR,35,28,21,37,15
Caucasian (Middle East),18,1,1,1,Test Website,US,34,44,30,32,29
Mixed Race,14,1,1,1,Test Website,US,42,41,40,18,37
Mixed Race,18,0,1,0,Test Website,MY,43,30,28,42,36
Caucasian (European),25,1,1,0,Test Website,US,37,37,38,38,27
Caucasian (European),17,1,1,0,Test Website,US,27,29,17,16,45
Caucasian (European),21,1,1,1,Test Website,US,45,34,24,42,29
Mixed Race,13,1,0,1,Test Website,CA,34,37,17,32,33
Mixed Race,36,1,1,1,Test Website,US,39,28,42,35,35
Caucasian (European),17,1,1,1,Test Website,CA,31,29,16,28,25
Mixed Race,30,0,0,1,Test Website,US,34,37,11,26,25
Mixed Race,24,0,0,0,Other Source,HK,26,34,31,36,21
Caucasian (European),16,0,0,1,Test Website,BR,35,20,20,42,31
Mixed Race,16,1,0,1,Test Website,CO,47,28,20,40,38
